date,header,name,odds_order,odds_name,odds,odds_enabled
2024-02-29T20:17:57.256005,Celkovo - Víťaz,Švec Róbert,6000.0,áno,6000.0,True
2024-03-01T04:17:53.599561,Celkovo - Víťaz,Pellegrini Peter,1.5,áno,1.5,True
2024-03-01T04:17:53.599561,Celkovo - Víťaz,Korčok Ivan,2.45,áno,2.45,True
2024-03-01T04:17:53.599561,Celkovo - Víťaz,Kubiš Ján,5000.0,áno,5000.0,True
2024-03-01T04:17:53.599561,Celkovo - Víťaz,Harabin Štefan,200.0,áno,200.0,True
2024-03-01T04:17:53.599561,Celkovo - Víťaz,Forró Krisztián,5000.0,áno,5000.0,True
2024-03-01T04:17:53.599561,Celkovo - Víťaz,Kotleba Marian,5500.0,áno,5500.0,True
2024-03-01T04:17:53.599561,Celkovo - Víťaz,Danko Andrej,5500.0,áno,5500.0,True
2024-03-01T04:17:53.599561,Celkovo - Víťaz,Náhlik Milan,6000.0,áno,6000.0,True
2024-03-01T04:17:53.599561,Celkovo - Víťaz,Matovič Igor,4000.0,áno,4000.0,True
2024-03-01T04:17:53.599561,Celkovo - Víťaz,Dubovský Patrik,5500.0,áno,5500.0,True
2024-03-01T04:17:53.599561,Celkovo - Víťaz,Švec Róbert,6000.0,áno,6000.0,True
2024-03-01T12:18:33.431766,Celkovo - Víťaz,Pellegrini Peter,1.5,áno,1.5,True
2024-03-01T12:18:33.431766,Celkovo - Víťaz,Korčok Ivan,2.45,áno,2.45,True
2024-03-01T12:18:33.431766,Celkovo - Víťaz,Kubiš Ján,5000.0,áno,5000.0,True
2024-03-01T12:18:33.431766,Celkovo - Víťaz,Harabin Štefan,200.0,áno,200.0,True
2024-03-01T12:18:33.431766,Celkovo - Víťaz,Forró Krisztián,5000.0,áno,5000.0,True
2024-03-01T12:18:33.431766,Celkovo - Víťaz,Kotleba Marian,5500.0,áno,5500.0,True
2024-03-01T12:18:33.431766,Celkovo - Víťaz,Danko Andrej,5500.0,áno,5500.0,True
2024-03-01T12:18:33.431766,Celkovo - Víťaz,Náhlik Milan,6000.0,áno,6000.0,True
2024-03-01T12:18:33.431766,Celkovo - Víťaz,Matovič Igor,4000.0,áno,4000.0,True
2024-03-01T12:18:33.431766,Celkovo - Víťaz,Dubovský Patrik,5500.0,áno,5500.0,True
2024-03-01T12:18:33.431766,Celkovo - Víťaz,Švec Róbert,6000.0,áno,6000.0,True
2024-03-01T20:17:48.887563,Celkovo - Víťaz,Pellegrini Peter,1.55,áno,1.55,True
2024-03-01T20:17:48.887563,Celkovo - Víťaz,Korčok Ivan,2.4,áno,2.4,True
2024-03-01T20:17:48.887563,Celkovo - Víťaz,Kubiš Ján,5000.0,áno,5000.0,True
2024-03-01T20:17:48.887563,Celkovo - Víťaz,Harabin Štefan,200.0,áno,200.0,True
2024-03-01T20:17:48.887563,Celkovo - Víťaz,Forró Krisztián,5000.0,áno,5000.0,True
2024-03-01T20:17:48.887563,Celkovo - Víťaz,Kotleba Marian,5500.0,áno,5500.0,True
2024-03-01T20:17:48.887563,Celkovo - Víťaz,Danko Andrej,5500.0,áno,5500.0,True
2024-03-01T20:17:48.887563,Celkovo - Víťaz,Náhlik Milan,6000.0,áno,6000.0,True
2024-03-01T20:17:48.887563,Celkovo - Víťaz,Matovič Igor,4000.0,áno,4000.0,True
2024-03-01T20:17:48.887563,Celkovo - Víťaz,Dubovský Patrik,5500.0,áno,5500.0,True
2024-03-01T20:17:48.887563,Celkovo - Víťaz,Švec Róbert,6000.0,áno,6000.0,True
2024-03-02T04:17:30.081396,Celkovo - Víťaz,Pellegrini Peter,1.55,áno,1.55,True
2024-03-02T04:17:30.081396,Celkovo - Víťaz,Korčok Ivan,2.4,áno,2.4,True
2024-03-02T04:17:30.081396,Celkovo - Víťaz,Kubiš Ján,5000.0,áno,5000.0,True
2024-03-02T04:17:30.081396,Celkovo - Víťaz,Harabin Štefan,200.0,áno,200.0,True
2024-03-02T04:17:30.081396,Celkovo - Víťaz,Forró Krisztián,5000.0,áno,5000.0,True
2024-03-02T04:17:30.081396,Celkovo - Víťaz,Kotleba Marian,5500.0,áno,5500.0,True
2024-03-02T04:17:30.081396,Celkovo - Víťaz,Danko Andrej,5500.0,áno,5500.0,True
2024-03-02T04:17:30.081396,Celkovo - Víťaz,Náhlik Milan,6000.0,áno,6000.0,True
